TRAIN_NUMBER,STATION_CODE,DIVISION_CODE,ZONE_CODE,PF_NUMBER
02187,CSMT,BB,CR,15
02188,CSMT,BB,CR,10
12321,CSMT,BB,CR,16
12322,CSMT,BB,CR,16
12361,CSMT,BB,CR,15
12362,CSMT,BB,CR,15
22177,CSMT,BB,CR,17
22178,CSMT,BB,CR,16
22359,CSMT,BB,CR,16
22360,CSMT,BB,CR,15
02187,DR,BB,CR,12
02188,DR,BB,CR,11
12321,DR,BB,CR,12
12322,DR,BB,CR,11
12361,DR,BB,CR,12
12362,DR,BB,CR,11
22177,DR,BB,CR,10
22178,DR,BB,CR,12
11071,IGP,BB,CR,1
11072,IGP,BB,CR,3
12335,IGP,BB,CR,3
12336,IGP,BB,CR,1
15017,IGP,BB,CR,4
15018,IGP,BB,CR,4
22177,IGP,BB,CR,1
22178,IGP,BB,CR,3
22183,IGP,BB,CR,1
22311,IGP,BB,CR,3
22312,IGP,BB,CR,3
12322,KSRA,BB,CR,1
13201,KSRA,BB,CR,2
13202,KSRA,BB,CR,1
02187,KYN,BB,CR,5
02188,KYN,BB,CR,4
05557,KYN,BB,CR,4
05558,KYN,BB,CR,4
11015,KYN,BB,CR,4
11016,KYN,BB,CR,4
11055,KYN,BB,CR,4
11056,KYN,BB,CR,6
11059,KYN,BB,CR,4
11060,KYN,BB,CR,4
11061,KYN,BB,CR,4
11062,KYN,BB,CR,6
11071,KYN,BB,CR,4
11072,KYN,BB,CR,5
11081,KYN,BB,CR,4
11082,KYN,BB,CR,4
12141,KYN,BB,CR,4
12142,KYN,BB,CR,6
12165,KYN,BB,CR,4
12166,KYN,BB,CR,6
12167,KYN,BB,CR,4
12168,KYN,BB,CR,4
12321,KYN,BB,CR,5
12322,KYN,BB,CR,4
12335,KYN,BB,CR,4
12336,KYN,BB,CR,4
12361,KYN,BB,CR,6
12362,KYN,BB,CR,4
12519,KYN,BB,CR,4
12520,KYN,BB,CR,6
12545,KYN,BB,CR,6
12546,KYN,BB,CR,4
12741,KYN,BB,CR,4
12742,KYN,BB,CR,4
13201,KYN,BB,CR,6
13202,KYN,BB,CR,4
15017,KYN,BB,CR,2
15018,KYN,BB,CR,1A
15181,KYN,BB,CR,5
15182,KYN,BB,CR,4
15267,KYN,BB,CR,6
15268,KYN,BB,CR,6
15647,KYN,BB,CR,4
15648,KYN,BB,CR,4
15945,KYN,BB,CR,4
15946,KYN,BB,CR,4
18609,KYN,BB,CR,6
18610,KYN,BB,CR,4
