TRAIN_NUMBER,TRAIN_NAME,OWNING_RLY,TRAIN_TYPE,TRAIN_SUB_TYPE,TRAIN_SRC,TRAIN_DSTN,NO_OF_COACHES,RAKE_TYPE
00131,REWA-SSB DELEGATES SPL,WCR,TRSF,NFIR,REWA,SSB,14,LHB
00132,SSB-REWA DELEGATES SPL,WCR,TRSF,NFIR,SSB,REWA,14,LHB
00137,MML-PNME FTR SPL,WCR,TRST,FTR,MML,PNME,24,LHB
00138,PNME-MML FTR SPL,WCR,TRST,FTR,PNME,MML,18,LHB
00150,HDP-BSBS FTR SPL,CR,TRST,FTR,HDP,HDP,18,ICF
00151,HDP-BSBS FTR SPL,CR,TRST,FTR,HDP,HDP,24,ICF
00438,YNRK-YNRK BHGV SPL,NR,TRST,BHGV,TDN,YNRK,18,ICF
00901,ST-NRPA PARCEL SPL,WR,PEXP,MISC,ST,NRPA,21,PARCEL
00902,NRPA-ST PARCEL SPL,WR,PEXP,MISC,NRPA,ST,21,PARCEL
00935,INDB-KOAA-INDB SPL ,WR,TRST,BHGV,INDB,INDB,14,LHB
01053,DVL-DNR SPL,CR,TOD,TOD,DVL,DNR,23,ICF
01054,DNR-MMR SPL,CR,TOD,TOD,DNR,MMR,23,ICF
01143,LTT-DNR SPL,CR,TOD,PUJA,LTT,DNR,18,ICF
01144,DNR-LTT SPL,CR,TOD,PUJA,DNR,LTT,18,ICF
01149,BIRD-SGTY MIXED TOD,CR,TOD,TOD,BIRD,SGTY,22,ICF
01150,SGTY-TNA MIXED TOD,CR,TOD,TOD,SRC,TNA,22,ICF
01449,PUNE-DNR SPL,CR,TOD,PUJA,PUNE,DNR,18,ICF
01450,DNR-PUNE SPL,CR,TOD,PUJA,DNR,PUNE,18,ICF
01661,RKMP-GAYA PITRAPAKSH SPL,WCR,TOD,PUJA,RKMP,GAYA,24,LHB
01662,GAYA-RKMP PITRAPAKSH SPL,WCR,TOD,PUJA,GAYA,RKMP,24,LHB
